Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,,,,,,
"On A Scale From 1-10, How Good Are You At Keeping A Secret?",10,31,5,28,8,21,9,18,,,,,,
Name The Time Of Night When It’s Too Late To Call Someone’s House.,10,46,12,22,11,18,9,6,,,,,,
Name An Age That People Worry About Turning,40,42,50,31,30,23,60,3,,,,,,
Tell Me A Good Score When Playing 18 Holes Of Golf.,72,40,65,27,80,20,66,9,,,,,,
Name Something That Can Be Spoiled,Milk,56,Food,17,Kids,13,A Surprise,5,,,,,,
What Reason Would Most People Give For Why They Drink Coffee?,Stay Awake,45,Like The Taste,24,Energy,12,Addicted,9,,,,,,
Name A Profession Where You May Receive Lots Of Mail From Strangers.,Celebrity,51,Politician,36,Customer Service,7,Advice Columnist,5,,,,,,
Name Something You Hope To Have Your Seat Near While Riding In A Plane,Window,61,Bathroom,20,Exit,12,Aisle,6,,,,,,
Tell Me Something You Avoid When You Are Sick,Other People,34,Work/ School,29,Eating,25,Alcohol,5,,,,,,
What’s Something You Drink To Make You Warmer?,Coffee,41,Hot Chocolate,36,Tea,16,Alcohol,5,,,,,,
Name A Drink You Get At A Cafe That Most People Can’t Make At Home,Latte,39,Cappuccino,29,Mocha,12,Americano,7,,,,,,
Name A Public Place Where It Is Okay To Yell,Park,46,Concert,19,Sports Event,17,Amusement Park,5,,,,,,
Name A Physical Characteristic That Aliens Are Said To Have,Wide Eyes,48,Big Head,25,Green Skin,18,Antennae,7,,,,,,
What Might A Professional Athlete Do Just After A Sports Game To Avoid Getting Sore Muscles?,Stretch,48,Get A Massage,19,Soak In Hot Tub,8,Apply Ice,7,,,,,,
What Might A Woman Do On A First Date To Make You Suspect He Was An Undercover Cop?,Ask Many Questions,49,Carries A Gun,29,Wears A Badge,10,Ask For ID,6,,,,,,
Name Something A Vacation Brochure Tells You About A Destination,Weather,33,Prices,26,Where To Stay,25,Attractions,5,,,,,,
Name An Occasion Where It’d Be Embarrassing To Show Up Empty Handed.,Wedding,46,Birthday,41,Christmas,7,Baby Shower,5,,,,,,
Name A Reason Why A College Football Player Might Get Kicked Off His Team.,Steroids,55,Fighting,19,Bad Attitude,9,Bad Grades,6,,,,,,
"In A Scary Movie, Name Something Specific That Causes A Character To Scream",Monster,38,Weapon,28,Ghost,21,Bad Guy,4,,,,,,
